id,artista,album,cancion,genero,anio,tags_animo,tags_tema
1,Daft Punk,Discovery,One More Time,House,2001,fiesta;energia,clasicos
2,Adele,21,Rolling in the Deep,Pop,2011,melancolia;potente,voces
3,Kendrick Lamar,DAMN.,HUMBLE.,Hip-Hop,2017,intenso;seguro,flow
4,Taylor Swift,1989,Style,Pop,2014,optimista;moderno,pop-mainstream
5,Radiohead,OK Computer,Paranoid Android,Rock,1997,introspectivo;epico,alternativo
6,Arctic Monkeys,AM,Do I Wanna Know?,Rock,2013,melancolia;nocturno,indie
7,Dua Lipa,Future Nostalgia,Levitating,Pop,2020,fiesta;optimista,disco-pop
8,Bad Bunny,Un Verano Sin Ti,Titi Me Pregunto,Reggaeton,2022,fiesta;energico,latino
9,The Weeknd,After Hours,Blinding Lights,Synthpop,2020,retro;energico,ochentas
10,Rosalia,MOTOMAMI,SAOKO,Experimental,2022,atrevido;intenso,latino
