artist,bio,top_songs
"Quevedo","Cantante y compositor espanol de Canarias; mezcla regueton, trap y pop; salto global con BZRP Music Sessions #52.","Playa del Ingles;Quevedo: Bzrp Music Sessions #52;Vista al Mar;Punto G;Columbia"
"Bad Bunny","Artista puertorriqueno que llevo el regueton y trap al mainstream; letras emocionales y estilo irreverente; rompe estereotipos de genero e imagen.","Titi Me Pregunto;Dakiti;Monaco;Callaita;Me Porto Bonito"
"Dua Lipa","Cantante britanica-albanesa de pop y dance-pop; salto con New Rules y consolido Future Nostalgia mezclando retro y pop moderno.","Dont Start Now;Levitating;New Rules;One Kiss;Physical"
"Rosalia","Cantante espanola que fusiona flamenco con pop, regueton y electronica; de El Mal Querer a hits urbanos como Con Altura y Despecha.","Despecha;Malamente;Con Altura;Bizcochito;Saoko"
"Daft Punk","Duo frances pionero del French house; iconicos cascos de robot; hits como One More Time y Get Lucky; se separaron en 2021.","One More Time;Get Lucky;Around the World;Harder Better Faster Stronger;Digital Love"
"Adele","Cantante britanica de soul/pop; voz potente y baladas emotivas; records de ventas y Grammys con Someone Like You y Hello.","Someone Like You;Hello;Rolling in the Deep;Easy On Me;Skyfall"
"Kendrick Lamar","Rapero estadounidense referente lirico; mezcla critica social, politica y temas personales; ganador de Grammys y un Pulitzer por DAMN.","Not Like Us;HUMBLE.;Alright;Money Trees;King Kunta"
"Taylor Swift","Cantante y compositora estadounidense; del country al pop/folk; escribe sobre experiencias personales y reinventa su sonido en cada album.","Anti-Hero;Blank Space;Love Story;Cruel Summer;Shake It Off"
"Radiohead","Banda britanica que paso del rock alternativo de Creep a sonidos experimentales/electronicos; influyentes por discos como OK Computer y Kid A.","Creep;Karma Police;No Surprises;Paranoid Android;Fake Plastic Trees"
"Arctic Monkeys","Banda britanica de rock/indie; famosa por Do I Wanna Know?; evolucion del garage rock a sonidos mas elegantes como en AM y Tranquility Base.","Do I Wanna Know?;505;R U Mine?;Arabella;I Wanna Be Yours"
"The Weeknd","Cantante canadiense que mezcla RnB, pop y electronica; de sonido oscuro inicial a hits globales como Blinding Lights y Starboy.","Blinding Lights;Save Your Tears;Starboy;The Hills;Cant Feel My Face"
"Ozuna","Cantante puertorriqueno de regueton y trap; voz melodica y estilo romantico; muy colaborativo y masivo en plataformas digitales.","Se Preparo;Criminal;Caramelo;Taki Taki;Playa Marina"
"Granuja","Rapero colombiano (Moebiuz) con letras detalladas y flow relajado sobre boom bap/jazz; referencias culturales y tono introspectivo.","De Pe a Pa;Mango Biche;Blue Satellite;Punto Rojo;Hienas"
"Doble Porcion","Duo colombiano (Manas Ru-Fino y Metricas Frias); mezcla nostalgia, calle, humor y reflexion con beats clasicos y melancolicos.","Tren a Vapor;Par de Pepas;Otras Cosas;Esas Cosas;Dando Saltos"
"Oblivion","Rapero colombiano ligado a la escena de Medellin; estilo crudo con flows modernos y letras de barrio, fiesta y vivencias personales.","No Me Acuerdo;Medallo Bullies;Puro Parcerito;Callao;No Me Soya La Playa"
