id,titulo,genero,anio,elenco,descripcion,tags
1,Inception,Sci-Fi,2010,Leonardo DiCaprio; Joseph Gordon-Levitt,Sueno dentro de suenos; equipo roba ideas,sci-fi;heist;mind-bending
2,The Dark Knight,Accion,2008,Christian Bale; Heath Ledger,Batman enfrenta al Joker en Gotham,superheroes;thriller;crime
3,Interstellar,Sci-Fi,2014,Matthew McConaughey; Anne Hathaway,Viaje espacial para salvar a la humanidad,space;drama;epico
4,La La Land,Romance,2016,Ryan Gosling; Emma Stone,Musico y actriz persiguen sus suenos en LA,musical;romance;drama
5,The Matrix,Sci-Fi,1999,Keanu Reeves; Carrie-Anne Moss,Hacker descubre que vive en una simulacion,cyberpunk;accion;filosofia
6,John Wick,Accion,2014,Keanu Reeves,Exasesino busca venganza tras perder a su perro,accion;venganza;noir
7,Blade Runner 2049,Sci-Fi,2017,Ryan Gosling; Harrison Ford,Blade Runner descubre un secreto sobre replicantes,neo-noir;futurista;thriller
8,The Notebook,Romance,2004,Ryan Gosling; Rachel McAdams,Historia de amor contada a traves de los anos,romance;drama;lagrimas
9,The Revenant,Accion,2015,Leonardo DiCaprio; Tom Hardy,Trampero sobrevive y busca venganza en la frontera,supervivencia;drama;epico
10,The Wolf of Wall Street,Comedia,2013,Leonardo DiCaprio; Jonah Hill,Ascenso y caida de un corredor de bolsa excesivo,comedia;biografia;crime
11,Titanic,Romance,1997,Leonardo DiCaprio; Kate Winslet,Amor prohibido en el trasatlantico condenado,romance;epico;historico
12,Shutter Island,Thriller,2010,Leonardo DiCaprio; Mark Ruffalo,Detectives investigan un hospital psiquiatrico aislado,thriller;psicologico;misterio
13,The Departed,Crime,2006,Leonardo DiCaprio; Matt Damon,Topo en la policia y topo en la mafia se cruzan,crime;thriller;policial
14,American Psycho,Thriller,2000,Christian Bale,Banquero con doble vida violenta en los 80,thriller;psicologico;satira
15,The Machinist,Thriller,2004,Christian Bale,Obrero insomne sufre paranoia y alucinaciones,psicologico;drama;noir
16,American Hustle,Crime,2013,Christian Bale; Amy Adams,Estafadores colaboran con el FBI en los 70,crime;comedia;drama
17,Ford v Ferrari,Drama,2019,Christian Bale; Matt Damon,Piloto y disenador compiten en Le Mans,drama;deportes;biografia
18,Dallas Buyers Club,Drama,2013,Matthew McConaughey,Electricista se vuelve traficante de medicamentos,biografia;drama;medico
19,Drive,Thriller,2011,Ryan Gosling,Doble de riesgo se mete en un atraco fallido,noir;thriller;accion
20,The Nice Guys,Comedia,2016,Ryan Gosling; Russell Crowe,Dos investigadores torpes resuelven un caso en los 70,comedia;buddy;crime
21,Barbie,Comedia,2023,Ryan Gosling; Margot Robbie,Barbie y Ken cuestionan su mundo perfecto,fantasia;comedia;meta
22,Easy A,Comedia,2010,Emma Stone,Chica finge promiscuidad y gana fama en la escuela,teen;comedia;romance
23,The Favourite,Drama,2018,Emma Stone; Olivia Colman,Juego de poder en la corte de la reina Ana,drama;historico;satira
24,Cruella,Comedia,2021,Emma Stone,Origen fashion de la villana Cruella de Vil,comedia;crime;moda
25,The Matrix Reloaded,Sci-Fi,2003,Keanu Reeves,Neo enfrenta nuevas amenazas en la Matrix,cyberpunk;accion;secuela
26,John Wick Chapter 2,Accion,2017,Keanu Reeves,John Wick vuelve a la accion por juramento,accion;noir;secuela
27,Joker,Thriller,2019,Joaquin Phoenix,Origen oscuro del icónico villano de Gotham,drama;psicologico;crime
28,Her,Romance,2013,Joaquin Phoenix,Hombre se enamora de un sistema operativo,romance;sci-fi;intimo
29,Walk the Line,Drama,2005,Joaquin Phoenix,Biografia de Johnny Cash y su musica,biografia;musica;romance
30,Lost in Translation,Drama,2003,Scarlett Johansson; Bill Murray,Actriz joven y actor en crisis se conectan en Tokio,drama;intimo;romance
31,Lucy,Accion,2014,Scarlett Johansson,Mula involuntaria obtiene poderes cerebrales extremos,sci-fi;accion;thriller
32,Marriage Story,Drama,2019,Scarlett Johansson; Adam Driver,Pareja atraviesa divorcio doloroso,drama;familiar;intimo
33,Scarface,Crime,1983,Al Pacino,Inmigrante cubano asciende como capo en Miami,crime;violento;clasico
34,Heat,Crime,1995,Al Pacino; Robert De Niro,Detective y ladrón profesional se enfrentan,crime;thriller;heist
35,Top Gun Maverick,Accion,2022,Tom Cruise,Piloto veterano entrena a nueva generacion,accion;aviacion;nostalgia
36,Mission Impossible Fallout,Accion,2018,Tom Cruise,Ethan Hunt salva el mundo de una catastrofe nuclear,espias;accion;thriller
37,Minority Report,Sci-Fi,2002,Tom Cruise,Policia predelictos descubre conspiracion,thriller;futurista;accion
38,Edge of Tomorrow,Sci-Fi,2014,Tom Cruise; Emily Blunt,Soldado revive el mismo dia en guerra alienigena,sci-fi;accion;bucle
39,Monster,Drama,2003,Charlize Theron,Biografia de una asesina serial en Florida,drama;crime;biografia
40,Mad Max Fury Road,Accion,2015,Charlize Theron; Tom Hardy,Huida postapocaliptica a toda velocidad,accion;postapocaliptico;feminismo
41,Atomic Blonde,Accion,2017,Charlize Theron,Espia en Berlin durante la Guerra Fria,accion;espias;noir
42,Whiplash,Drama,2014,Miles Teller; J.K. Simmons,Baterista y profesor feroz en conservatorio,musica;drama;intenso
43,Top Gun Maverick (Miles),Accion,2022,Miles Teller; Tom Cruise,Alumno de Maverick en la academia naval,accion;aviacion;drama
44,Deadpool,Accion,2016,Ryan Reynolds,Antihéroe irreverente rompe la cuarta pared,comedia;superheroes;accion
45,Free Guy,Comedia,2021,Ryan Reynolds,PNJ de videojuego se vuelve consciente,comedia;accion;videojuegos
46,The Devil Wears Prada,Comedia,2006,Anne Hathaway,Asistente en revista de moda enfrenta jefa temible,comedia;moda;drama
47,Les Miserables,Drama,2012,Anne Hathaway,Adaptacion musical del clasico frances,musical;drama;historico
48,Interstellar (Anne),Sci-Fi,2014,Anne Hathaway; Matthew McConaughey,Cientifica se une a mision espacial,sci-fi;space;drama
49,The Godfather Part II,Crime,1974,Al Pacino; Robert De Niro,Historia de los Corleone en dos epocas,mafia;drama;clasico
50,Apocalypse Now,Drama,1979,Marlon Brando; Martin Sheen,Mision para encontrar a un coronel fuera de control,belica;psicologico;clasico
